key,value
"C24060_001","Total"
"C24060_002","Management, business, science, and arts occupations"
"C24060_003","Service occupations"
"C24060_004","Sales and office occupations"
"C24060_005","Natural resources, construction, and maintenance occupations"
"C24060_006","Production, transportation, and material moving occupations"
